url,published,title,content,lang,domain_url,parent_url,porn_level,fluency_level,sentiment,post_type,tags_internal,images.url,videos.url,matched_profile,article_extended_attributes.facebook_likes,article_extended_attributes.facebook_shares,source_extended_attributes.facebook_followers,article_extended_attributes.url_views,article_extended_attributes.instagram_likes,source_extended_attributes.instagram_followers,article_extended_attributes.twitter_likes,article_extended_attributes.twitter_shares,article_extended_attributes.twitter_retweets,source_extended_attributes.twitter_followers,extra_article_attributes.world_data.city,extra_article_attributes.world_data.longitude,extra_article_attributes.world_data.latitude,extra_author_attributes.name,extra_author_attributes.birthdate.date,extra_author_attributes.birthdate.resolution,extra_author_attributes.gender,extra_author_attributes.short_name,extra_author_attributes.description,extra_author_attributes.url,extra_author_attributes.world_data.continent,extra_author_attributes.world_data.country,extra_author_attributes.world_data.country_code,extra_author_attributes.world_data.region,extra_author_attributes.world_data.city,extra_source_attributes.world_data.continent,extra_source_attributes.world_data.country,extra_source_attributes.world_data.country_code,extra_source_attributes.world_data.region,extra_source_attributes.world_data.city,engagement,reach,word_count,noise_category
http://twitter.com/p14381038/status/1245856908877029376,04/02/20 7:33:28 PM,,RT @deepfillernyc: thinking bout all those hungry holes waiting for me to fill them up !!!! 😈💦 https://t.co/vuW2qeR4OF,en,http://twitter.com/,http://twitter.com/deepfillernyc/status/1245845109695971334,100,24,0,VIDEO,"containsVideo,hasImage,isComment,isRepost",http://pbs.twimg.com/ext_tw_video_thumb/1245845046559150084/pu/img/uoURjJdxYuwtMWba.jpg,https://video.twimg.com/ext_tw_video/1245845046559150084/pu/vid/320x568/4Y-FySgq2gqCnl44.mp4?tag=10,SEARCH / Food Access / Food Insecurity,0,0,0,0,0,0,0,0,0,7,New York City,-73.9764404296875,40.75103759765625,p,0,DAY,UNKNOWN,p14381038,,http://twitter.com/p14381038/,North America,United States,us,New York,New York City,North America,United States,us,New York,New York City,0,7,16,
http://twitter.com/RxchQueenCarma/status/1246465129472024585,04/04/20 11:50:19 AM,,I was just knocked tf out on a different level. I had so much drool on my sheets 💀🤣🤷🏿‍♀️ Kenya hungry ass just had to wake up ‼️😫,en,http://twitter.com/,http://twitter.com/RxchQueenCarma/status/1246465129472024585,0,69,-5,TEXT,,,,SEARCH / Food Access / Food Insecurity,0,0,0,0,0,0,0,0,0,1248,New York City,-73.9654541015625,40.77850341796875,Jamaica Carma Chaè,0,DAY,FEMALE,RxchQueenCarma,NYC Raised | Entrepreneur | Rastafarian Princess | Nexghkbkorhkood CHO 👑💙 | FB/👻/IG: RxchQueenCarma |,http://twitter.com/RxchQueenCarma/,North America,United States,us,New York,New York City,North America,United States,us,New York,New York City,0,1248,26,
http://twitter.com/zelda229/status/1244742299080409095,03/30/20 5:44:24 PM,,"RT @okrapickles: As we go hungry and our crops are rotting in the fields because there aren't enough workers to harvest OUR FOOD, remember the Trumpist GOP in their infinite arrogance and stupidity persecuted and deported our migrant farm labor force. #wtpTEAM #OneVoice1 https://t.co/OtbnzJlT7L",en,http://twitter.com/,http://twitter.com/okrapickles/status/1244677397229776899,0,100,-5,TEXT,"isComment,isRepost",,,SEARCH / Food Access / Food Insecurity,0,0,0,0,0,0,0,0,0,19007,New York City,-73.9764404296875,40.75103759765625,🇺🇲❤ZELDA❤🇺🇲🧢💎💙💦🌊💧❄🦋🐳🐋🐬🐟🌏📘👓👗🗨👕,0,DAY,FEMALE,zelda229,"Fighting for the future of our children.Trump is a pathological liar, racist traitor, & Trump 4 prison. #resistor #LGBTQ🏳️‍🌈 #BLM #immigrants🇲🇽 #Muslims 🧢",http://twitter.com/zelda229/,North America,United States,us,New York,New York City,North America,United States,us,New York,New York City,0,19007,44,
