url,published,title,content,lang,domain_url,parent_url,porn_level,fluency_level,sentiment,post_type,tags_internal,images.url,videos.url,matched_profile,article_extended_attributes.facebook_likes,article_extended_attributes.facebook_shares,source_extended_attributes.facebook_followers,article_extended_attributes.url_views,article_extended_attributes.instagram_likes,source_extended_attributes.instagram_followers,article_extended_attributes.twitter_likes,article_extended_attributes.twitter_shares,article_extended_attributes.twitter_retweets,source_extended_attributes.twitter_followers,extra_article_attributes.world_data.city,extra_article_attributes.world_data.longitude,extra_article_attributes.world_data.latitude,extra_author_attributes.name,extra_author_attributes.birthdate.date,extra_author_attributes.birthdate.resolution,extra_author_attributes.gender,extra_author_attributes.short_name,extra_author_attributes.description,extra_author_attributes.url,extra_author_attributes.world_data.continent,extra_author_attributes.world_data.country,extra_author_attributes.world_data.country_code,extra_author_attributes.world_data.region,extra_author_attributes.world_data.city,extra_source_attributes.world_data.continent,extra_source_attributes.world_data.country,extra_source_attributes.world_data.country_code,extra_source_attributes.world_data.region,extra_source_attributes.world_data.city,engagement,reach,word_count,noise_category
http://twitter.com/sweetenedtaetae/status/1373769438969917441,03/21/21 6:52:12 PM,,"@jeonstiddiess 😭😭😭😭😭😭😭😭😭 YEE, IM TRYING TO MAINTAIN IT BUT I ENJOY JUNK FOOD WAY TOO MUCH 😩",en,http://twitter.com/,http://twitter.com/jeonstiddiess/status/1373768023274889224,0,13,-5,TEXT,"isComment,isTwitterReply,isEdited",,,SEARCH / Food Access / Food Prices,0,0,0,0,0,0,1,0,0,291,New York City,-73.9764404296875,40.75103759765625,cris⁷,0,DAY,MALE,sweetenedtaetae,(👼🏻). . . where’s my angel?,http://twitter.com/sweetenedtaetae/,North America,United States,us,New York,New York City,North America,United States,us,New York,New York City,1,291,15,
http://twitter.com/TheJulieTuesday/status/1376875072015765508,03/30/21 8:32:52 AM,,"RT @JoyceMeyer: A few words of encouragement can change your life. When you partner with us, you’re making a way for words of encouragement to heal emotional hurts, and for practical help in the form of food, water, and medical care to heal physical hurts. Thank You! #HandOfHope #GiveHope https://t.co/QVjEeWQ387",en,http://twitter.com/,http://twitter.com/JoyceMeyer/status/1376640357111377921,0,100,5,IMAGE,"containsImage,hasImage,isComment,isRepost,isEdited",http://pbs.twimg.com/media/ExrPGzfXAAo1g7c.jpg,,SEARCH / Food Access / Food Prices,0,0,0,0,0,0,0,0,0,2011,New York City,-73.9764404296875,40.75103759765625,JulieTuesdaySerragoⓋ,0,DAY,UNKNOWN,TheJulieTuesday,ForTheAnimals VEGAN Compassion as a way of Life,http://twitter.com/TheJulieTuesday/,North America,United States,us,New York,New York City,North America,United States,us,New York,New York City,0,2011,50,
http://twitter.com/rsilveirafilho/status/1371942187945111559,03/16/21 5:51:21 PM,,"RT @Elainnefaria1: Prefeito de Aparecida entrou na justiça contra lockdown ""Estamos em colapso econômico e social.Temos suicídio, desespero Não aguento mais ver a população pedindo por comida"" Prefeito Luiz Carlos Siqueira",pt,http://twitter.com/,http://twitter.com/Elainnefaria1/status/1371854987425370114,0,100,-5,TEXT,"isComment,isRepost,isEdited",,,SEARCH / Food Access / Food Prices,0,0,0,0,0,0,0,0,0,8045,New York City,-73.9764404296875,40.75103759765625,Renato Silveira,0,DAY,MALE,rsilveirafilho,"🇧🇷 Brasileiro, Patriota 🇧🇷, Cristão Católico e Pai.",http://twitter.com/rsilveirafilho/,North America,United States,us,New York,New York City,North America,United States,us,New York,New York City,0,8045,31,
