url,published,title,content,lang,domain_url,parent_url,porn_level,fluency_level,sentiment,post_type,tags_internal,images.url,videos.url,matched_profile,article_extended_attributes.facebook_likes,article_extended_attributes.facebook_shares,source_extended_attributes.facebook_followers,article_extended_attributes.url_views,article_extended_attributes.instagram_likes,source_extended_attributes.instagram_followers,article_extended_attributes.twitter_likes,article_extended_attributes.twitter_shares,article_extended_attributes.twitter_retweets,source_extended_attributes.twitter_followers,extra_article_attributes.world_data.city,extra_article_attributes.world_data.longitude,extra_article_attributes.world_data.latitude,extra_author_attributes.name,extra_author_attributes.birthdate.date,extra_author_attributes.birthdate.resolution,extra_author_attributes.gender,extra_author_attributes.short_name,extra_author_attributes.description,extra_author_attributes.url,extra_author_attributes.world_data.continent,extra_author_attributes.world_data.country,extra_author_attributes.world_data.country_code,extra_author_attributes.world_data.region,extra_author_attributes.world_data.city,extra_source_attributes.world_data.continent,extra_source_attributes.world_data.country,extra_source_attributes.world_data.country_code,extra_source_attributes.world_data.region,extra_source_attributes.world_data.city,engagement,reach,word_count,noise_category
http://twitter.com/HeatherJChin/status/1244385439760482310,03/29/20 6:06:23 PM,,@SplendidSpoonNY Thank you for the message! I have enough food to last so my set date works great. :),en,http://twitter.com/,http://twitter.com/SplendidSpoonNY/status/1244381886052352000,0,100,5,TEXT,"isComment,isTwitterReply",,,SEARCH / Food Access / Food Insecurity,0,0,0,0,0,0,0,0,0,1944,New York City,-73.9764404296875,40.75103759765625,HeatherJChin 🏡👩‍💻📚,0,DAY,FEMALE,HeatherJChin,"Homepage/mobile producer @phillyinquirer | #health #media #identity | @aajanewyork VP | Brooklyn native | Always curious, often hungry | RT=🤔or🤣or🤗; like=🔖",http://twitter.com/HeatherJChin/,North America,United States,us,New York,New York City,North America,United States,us,New York,New York City,0,1944,18,
http://twitter.com/killslen/status/1241729304234467333,03/22/20 10:11:51 AM,,thank god my corner deli niggas is starving,en,http://twitter.com/,http://twitter.com/killslen/status/1241729304234467333,0,100,-5,TEXT,,,,SEARCH / Food Access / Food Insecurity,0,0,0,0,0,0,0,0,0,269,New York City,-73.9764404296875,40.75103759765625,Nels 👁,0,DAY,MALE,killslen,Tunnel Vision🚊 IG: Killxnels 📸,http://twitter.com/killslen/,North America,United States,us,New York,New York City,North America,United States,us,New York,New York City,0,269,8,
http://twitter.com/jackiemccaffrey/status/1243281704334299136,03/26/20 5:00:32 PM,,RT @benigma2017: The Democrats are buying you off with a single $1200 dollar check and some paperwork. Their donors are getting the bulk of this stimulus while you get a week off from starving to death.,en,http://twitter.com/,http://twitter.com/benigma2017/status/1243137209001226243,0,100,-5,TEXT,"isComment,isRepost",,,SEARCH / Food Access / Food Insecurity,0,0,0,0,0,0,0,0,0,4217,New York City,-73.9764404296875,40.75103759765625,Jackie #HRes897 #UBI #StandWithTulsi,0,DAY,FEMALE,jackiemccaffrey,Sometime film and television producer.,http://twitter.com/jackiemccaffrey/,North America,United States,us,New York,New York City,North America,United States,us,New York,New York City,0,4217,36,
