url,published,title,content,lang,domain_url,parent_url,porn_level,fluency_level,sentiment,post_type,tags_internal,images.url,videos.url,matched_profile,article_extended_attributes.facebook_likes,article_extended_attributes.facebook_shares,source_extended_attributes.facebook_followers,article_extended_attributes.url_views,article_extended_attributes.instagram_likes,source_extended_attributes.instagram_followers,article_extended_attributes.twitter_likes,article_extended_attributes.twitter_shares,article_extended_attributes.twitter_retweets,source_extended_attributes.twitter_followers,extra_article_attributes.world_data.city,extra_article_attributes.world_data.longitude,extra_article_attributes.world_data.latitude,extra_author_attributes.name,extra_author_attributes.birthdate.date,extra_author_attributes.birthdate.resolution,extra_author_attributes.gender,extra_author_attributes.short_name,extra_author_attributes.description,extra_author_attributes.url,extra_author_attributes.world_data.continent,extra_author_attributes.world_data.country,extra_author_attributes.world_data.country_code,extra_author_attributes.world_data.region,extra_author_attributes.world_data.city,extra_source_attributes.world_data.continent,extra_source_attributes.world_data.country,extra_source_attributes.world_data.country_code,extra_source_attributes.world_data.region,extra_source_attributes.world_data.city,engagement,reach,word_count,noise_category
http://twitter.com/GlibPerspective/status/1295842082804961280,08/18/20 5:56:42 PM,,"RT @ntranloan: chalking the trump regime, the covid pandemic, the crisis of police violence, the crisis keeping people poor and hungry inside the walls of the richest country on the planet up to individual choice is precisely why we are here. so let's really cut the shit.",en,http://twitter.com/,http://twitter.com/ntranloan/status/1295780785862082560,0,100,-5,TEXT,"isComment,isRepost",,,SEARCH / Food Access / Food Insecurity,0,0,0,0,0,0,0,0,0,138,New York City,-73.9764404296875,40.75103759765625,Abolition Baby,0,DAY,MALE,GlibPerspective,"neurodivergent, queerish, big dumb dumb",http://twitter.com/GlibPerspective/,North America,United States,us,New York,New York City,North America,United States,us,New York,New York City,0,138,47,
http://twitter.com/DoctorHapp/status/1296484109464854528,08/20/20 12:27:53 PM,,"RT @AOC: I am taking this seriously because we have seen this recklessness before in ‘16. We have seen click-hungry media coverage bring voters to a froth for no reason but views. It was me this week, but they will do it to Kamala, Biden, or anyone else next week. It needs to stop now.",en,http://twitter.com/,http://twitter.com/AOC/status/1296467000315740160,0,100,0,TEXT,"isComment,isRepost",,,SEARCH / Food Access / Food Insecurity,0,0,0,0,0,0,0,0,0,153,New York City,-73.9764404296875,40.75103759765625,Captain Zero,0,DAY,MALE,DoctorHapp,Posted items that are tweeted do not imply agreement with the content of those items.,http://twitter.com/DoctorHapp/,North America,United States,us,New York,New York City,North America,United States,us,New York,New York City,0,153,56,
http://twitter.com/Michael_lee888/status/1296493197749870592,08/20/20 1:04:00 PM,,"RT @AOC: I am taking this seriously because we have seen this recklessness before in ‘16. We have seen click-hungry media coverage bring voters to a froth for no reason but views. It was me this week, but they will do it to Kamala, Biden, or anyone else next week. It needs to stop now.",en,http://twitter.com/,http://twitter.com/AOC/status/1296467000315740160,0,100,0,TEXT,"isComment,isRepost",,,SEARCH / Food Access / Food Insecurity,0,0,0,0,0,0,0,0,0,102,New York City,-73.9764404296875,40.75103759765625,Michael Lee,0,DAY,MALE,Michael_lee888,,http://twitter.com/Michael_lee888/,North America,United States,us,New York,New York City,North America,United States,us,New York,New York City,0,102,56,
