url,published,title,content,lang,domain_url,parent_url,porn_level,fluency_level,sentiment,post_type,tags_internal,images.url,videos.url,matched_profile,article_extended_attributes.facebook_likes,article_extended_attributes.facebook_shares,source_extended_attributes.facebook_followers,article_extended_attributes.url_views,article_extended_attributes.instagram_likes,source_extended_attributes.instagram_followers,article_extended_attributes.twitter_likes,article_extended_attributes.twitter_shares,article_extended_attributes.twitter_retweets,source_extended_attributes.twitter_followers,extra_article_attributes.world_data.city,extra_article_attributes.world_data.longitude,extra_article_attributes.world_data.latitude,extra_author_attributes.name,extra_author_attributes.birthdate.date,extra_author_attributes.birthdate.resolution,extra_author_attributes.gender,extra_author_attributes.short_name,extra_author_attributes.description,extra_author_attributes.url,extra_author_attributes.world_data.continent,extra_author_attributes.world_data.country,extra_author_attributes.world_data.country_code,extra_author_attributes.world_data.region,extra_author_attributes.world_data.city,extra_source_attributes.world_data.continent,extra_source_attributes.world_data.country,extra_source_attributes.world_data.country_code,extra_source_attributes.world_data.region,extra_source_attributes.world_data.city,engagement,reach,word_count,noise_category
http://twitter.com/PereiraJeanette/status/1254262756443897857,04/26/20 12:15:18 AM,,RT @ElsieRinger: En facebook dece esto .. “PIT CNT...PAGA 5MIL POR COCHE...PARA LA CARAVANA...1000 DE NAFTA...RESTO LIBRE...!!!” será verdad? En lugar de dar esa Plata para una manifestación no sería mejor para comida !? Hay gente muerta de hambre por culpa del FA!! Que los ayuden!!,es,http://twitter.com/,http://twitter.com/ElsieRinger/status/1254049250603925505,0,30,-5,TEXT,"isComment,isQuestion,isRepost,isEdited",,,SEARCH / Food Access / Food Insecurity,0,0,0,0,0,0,0,0,0,179,New York City,-73.9764404296875,40.75103759765625,Jeane Peré,0,DAY,FEMALE,PereiraJeanette,Me too,http://twitter.com/PereiraJeanette/,North America,United States,us,New York,New York City,North America,United States,us,New York,New York City,0,179,48,
http://twitter.com/bombsbybangtan/status/1253375463709241345,04/23/20 1:29:31 PM,,"RT @modooborahae: 🐯 Jiminie said it’s the start of dance practice so let’s eat after. So with that, a big fight started. At that time, the background context was when I was filming Hwarang & doing concerts, so I was really hungry. So after [filming] ended, I thought I was going to eat big mandus+",en,http://twitter.com/,http://twitter.com/modooborahae/status/1253346255134228481,0,100,0,TEXT,"isComment,isRepost",,,SEARCH / Food Access / Food Insecurity,0,0,0,0,0,0,0,0,0,1647,New York City,-73.9764404296875,40.75103759765625,𝕃𝕠𝕦𝕕𝕖𝕣 𝕋𝕙𝕒𝕟 ⁷,0,DAY,MALE,bombsbybangtan,♥@shawnmendes followed on 28/12/17❣️,http://twitter.com/bombsbybangtan/,North America,United States,us,New York,New York City,North America,United States,us,New York,New York City,0,1647,53,
http://twitter.com/marilove_143/status/1254036760369098754,04/25/20 9:17:17 AM,,"RT @modooborahae: Q: Why was Seesaw named Flower? 🐱 I don’t have much thought when I name my projects, everyone. If I’m hungry, (I name it) I’m hungry. If I’m not feeling great, I do a keyboard smash too lol. So at that time, maybe I wanted flowers. It was in the summer, when it was really hot.",en,http://twitter.com/,http://twitter.com/modooborahae/status/1254010351236132866,0,96,0,TEXT,"isComment,isQuestion,isRepost",,,SEARCH / Food Access / Food Insecurity,0,0,0,0,0,0,0,0,0,156,New York City,-73.9764404296875,40.75103759765625,Marie Mill,0,DAY,FEMALE,marilove_143,Loving yourself and @BTS_twt is not vanity but it is sanity.,http://twitter.com/marilove_143/,North America,United States,us,New York,New York City,North America,United States,us,New York,New York City,0,156,57,
