url,published,title,content,lang,domain_url,parent_url,porn_level,fluency_level,sentiment,post_type,tags_internal,images.url,videos.url,matched_profile,article_extended_attributes.facebook_likes,article_extended_attributes.facebook_shares,source_extended_attributes.facebook_followers,article_extended_attributes.url_views,article_extended_attributes.instagram_likes,source_extended_attributes.instagram_followers,article_extended_attributes.twitter_likes,article_extended_attributes.twitter_shares,article_extended_attributes.twitter_retweets,source_extended_attributes.twitter_followers,extra_article_attributes.world_data.city,extra_article_attributes.world_data.longitude,extra_article_attributes.world_data.latitude,extra_author_attributes.name,extra_author_attributes.birthdate.date,extra_author_attributes.birthdate.resolution,extra_author_attributes.gender,extra_author_attributes.short_name,extra_author_attributes.description,extra_author_attributes.url,extra_author_attributes.world_data.continent,extra_author_attributes.world_data.country,extra_author_attributes.world_data.country_code,extra_author_attributes.world_data.region,extra_author_attributes.world_data.city,extra_source_attributes.world_data.continent,extra_source_attributes.world_data.country,extra_source_attributes.world_data.country_code,extra_source_attributes.world_data.region,extra_source_attributes.world_data.city,engagement,reach,word_count,noise_category
http://twitter.com/BruhvaRice/status/1271109731017465856,06/11/20 11:59:10 AM,,"RT @lingerie_addict: Police departments get hundreds of millions of dollars a year, but children have “school lunch debt.” Make it make sense.",en,http://twitter.com/,http://twitter.com/lingerie_addict/status/1270994587704844288,0,94,0,TEXT,"isComment,isRepost,isEdited",,,SEARCH / Food Access / School Food,0,0,0,0,0,0,0,0,0,203,New York City,-73.9764404296875,40.75103759765625,Tony McDade,0,DAY,MALE,BruhvaRice,Corinthians 12:9 #AllBLM #KnowYourRightsCamp,http://twitter.com/BruhvaRice/,North America,United States,us,New York,New York City,North America,United States,us,New York,New York City,0,203,22,
http://twitter.com/seethe3rd/status/1271184289552650241,06/11/20 4:55:26 PM,,"RT @lingerie_addict: Police departments get hundreds of millions of dollars a year, but children have “school lunch debt.” Make it make sense.",en,http://twitter.com/,http://twitter.com/lingerie_addict/status/1270994587704844288,0,94,0,TEXT,"isComment,isRepost,isEdited",,,SEARCH / Food Access / School Food,0,0,0,0,0,0,0,0,0,830,New York City,-73.9764404296875,40.75103759765625,Aquarius Poster Child,0,DAY,MALE,seethe3rd,Elementary Ed • ODU Alum • he/him • T1D • Bookworm,http://twitter.com/seethe3rd/,North America,United States,us,New York,New York City,North America,United States,us,New York,New York City,0,830,22,
http://twitter.com/Bringmemisery/status/1271172018956668928,06/11/20 4:06:41 PM,,"RT @lingerie_addict: Police departments get hundreds of millions of dollars a year, but children have “school lunch debt.” Make it make sense.",en,http://twitter.com/,http://twitter.com/lingerie_addict/status/1270994587704844288,0,94,0,TEXT,"isComment,isRepost,isEdited",,,SEARCH / Food Access / School Food,0,0,0,0,0,0,0,0,0,115,New York City,-73.9764404296875,40.75103759765625,Bringmemisery @ Zine + BigBang Mess🌸,0,DAY,FEMALE,Bringmemisery,Misery | 25 | She / Her | I ship Byleth with too many people oops | Digital Artist | Character Designer | Don't Repost / Qrt please!  🔞 Might get spicy here 🔞,http://twitter.com/Bringmemisery/,North America,United States,us,New York,New York City,North America,United States,us,New York,New York City,0,115,22,
