url,published,title,content,lang,domain_url,parent_url,porn_level,fluency_level,sentiment,post_type,tags_internal,images.url,videos.url,matched_profile,article_extended_attributes.facebook_likes,article_extended_attributes.facebook_shares,source_extended_attributes.facebook_followers,article_extended_attributes.url_views,article_extended_attributes.instagram_likes,source_extended_attributes.instagram_followers,article_extended_attributes.twitter_likes,article_extended_attributes.twitter_shares,article_extended_attributes.twitter_retweets,source_extended_attributes.twitter_followers,extra_article_attributes.world_data.city,extra_article_attributes.world_data.longitude,extra_article_attributes.world_data.latitude,extra_author_attributes.name,extra_author_attributes.birthdate.date,extra_author_attributes.birthdate.resolution,extra_author_attributes.gender,extra_author_attributes.short_name,extra_author_attributes.description,extra_author_attributes.url,extra_author_attributes.world_data.continent,extra_author_attributes.world_data.country,extra_author_attributes.world_data.country_code,extra_author_attributes.world_data.region,extra_author_attributes.world_data.city,extra_source_attributes.world_data.continent,extra_source_attributes.world_data.country,extra_source_attributes.world_data.country_code,extra_source_attributes.world_data.region,extra_source_attributes.world_data.city,engagement,reach,word_count,noise_category
http://twitter.com/angelsosa__/status/1316102197566795776,10/13/20 3:43:10 PM,,RT @basedsavge: Offset: Cardi I’m hungry let’s get Lunch Cardi B: We got Lunch at home Lunch at home: https://t.co/8zp3aTiKjX,en,http://twitter.com/,http://twitter.com/basedsavge/status/1316088084769968131,100,50,0,IMAGE,"containsImage,hasImage,isComment,isRepost",http://pbs.twimg.com/media/EkOvIx4XcAEeqtH.jpg,,SEARCH / Food Access / Food Insecurity,0,0,0,0,0,0,0,0,0,161,New York City,-73.9764404296875,40.75103759765625,Angel22Hoe,0,DAY,MALE,angelsosa__,,http://twitter.com/angelsosa__/,North America,United States,us,New York,New York City,North America,United States,us,New York,New York City,0,161,20,
http://twitter.com/acrylic_cat/status/1316095876159471616,10/13/20 3:18:03 PM,,Hungry. What should I have for lunch...? /I was stuck at a clinic for my ppd and health assessment and was literally waiting for eons. So other than the granola bar I brought with me I haven't had an actual lunch yet 🙃.,en,http://twitter.com/,http://twitter.com/acrylic_cat/status/1316095876159471616,0,100,0,TEXT,isQuestion,,,SEARCH / Food Access / Food Insecurity,0,0,0,0,0,0,0,0,0,215,New York City,-73.9764404296875,40.75103759765625,Mikashi @BlackLivesMatter,0,DAY,FEMALE,acrylic_cat,She/Her  I post about FFXII the zodiac age annoyingly a lot. I'm not sorry.  I also post art sporadically lmao.  Note: if you're racist don't follow me please.,http://twitter.com/acrylic_cat/,North America,United States,us,New York,New York City,North America,United States,us,New York,New York City,0,215,42,
http://twitter.com/justcc_co/status/1316008489026813952,10/13/20 9:30:48 AM,,RT @Dalai_Mama_: It changed my life when I learned that our society’s emphasis on breakfast is just a mid-20th century marketing scheme to deal with the U.S.’ wheat surplus and that I can just eat when I feel hungry for the first time everyday.,en,http://twitter.com/,http://twitter.com/Dalai_Mama_/status/1315847496376242176,0,100,5,TEXT,"isComment,isRepost",,,SEARCH / Food Access / Food Insecurity,0,0,0,0,0,0,0,0,0,653,New York City,-73.9764404296875,40.75103759765625,JUSTCC.CO,0,DAY,FEMALE,justcc_co,Astrologer | Self-Help Expert | Blogger 📍| $chevond16 | Book astrology services through website 🌈,http://twitter.com/justcc_co/,North America,United States,us,New York,New York City,North America,United States,us,New York,New York City,0,653,45,
